TradeDate,TickerSymbol,NObsJanela,RetJanela,VolDiariaJanela,VolAnualJanela,VolumeJanela,NumNegociosJanela,IndiceLiquidez
2025-10-29,DAPQ26      ,02, 7.46137958, 2.06029963, 2.70622647,00000000817992007.1900,000000651,00000000001256516.1400
2025-10-29,CASA11      ,02, 0.04496033, 0.06472209, 1.02743081,00000000000484067.5700,000000658,00000000000000735.6650
2025-10-29,PTNT4       ,02,-0.93170304, 1.99772716, 1.71291980,00000000331449109.5400,000000057,00000000005814896.6585
2025-10-29,FRCZ26      ,02, 2.79299617, 4.68917237, 4.43826678,00000000022246046.9600,000000748,00000000000029740.7044
2025-10-29,BTAL11      ,02,-0.99702474, 4.09805111, 5.05451234,00000000001097211.4900,000001037,00000000000001058.0631
2025-10-29,FSRF11      ,02, 0.45799457, 0.11762070, 1.86716980,00000000001944842.7700,000000085,00000000000022880.5031
2025-10-29,UPSS34      ,02,-0.55373930, 0.57883014, 9.18863905,00000000005940734.0900,000000015,00000000000396048.9393
2025-10-29,HGRU11      ,02, 2.41831520, 0.87361408, 3.86818671,00000000004601974.4000,000008159,00000000000000564.0365
2025-10-29,KCRE11      ,02,-0.99533399, 3.80202397, 0.35522951,00000000000527736.3200,000000695,00000000000000759.3328
2025-10-29,BKCH39      ,02,-0.60183882, 0.62306844, 9.89089995,00000000001454652.8400,000000155,00000000000009384.8570
2025-10-29,PFIZ34      ,02, 1.65063088, 0.69534634, 1.03827547,00000000001880463.3600,000003887,00000000000000483.7827
2025-10-29,PCIP11      ,02,-0.47973015, 0.47188169, 7.49088588,00000000003304684.4600,000004812,00000000000000686.7590
2025-10-29,SOLH11      ,02, 9.13864185, 2.13444830, 3.88329953,00000000002674102.1200,000000741,00000000000003608.7747
2025-10-29,BEWJ39      ,02,-0.71522069, 0.87069371, 3.82182729,00000000002205492.0500,000001365,00000000000001615.7450
2025-10-29,JALL3       ,02,-0.82259148, 1.23848447, 9.66032171,00000000002926715.7900,000007458,00000000000000392.4263
2025-10-29,BTCI11      ,02, 0.27601483, 0.17538948, 2.78422030,00000000001573146.1100,000006193,00000000000000254.0200
2025-10-29,BCSA34      ,02,-0.58225589, 0.65421579, 0.38534855,00000000000238354.1100,000000129,00000000000001847.7062
