TradeDate,ReturnMean,ReturnMedian
2025-11-04,-0.004415800464419243,0.0
2025-11-05,0.005021987363415376,0.0016406894574598
2025-11-06,-0.004648149442373671,-0.00182428388026195
2025-11-07,0.0024799797894833214,0.0
2025-11-10,0.0023701332567686237,0.0014906161713907
2025-11-11,0.0037775090987973645,0.0006683534883826
2025-11-12,-0.00040682023010582313,0.0004913169046500501
2025-11-13,-0.008321356588379602,-0.0019622307086659
2025-11-14,-0.0016587814464967417,0.0001626412949828
2025-11-17,-0.004806227642470734,-0.002068253064059
2025-11-18,-0.0015519694589104637,-0.0006095238283938
2025-11-19,-0.0020902997501030794,-0.0006286604138771501
2025-11-21,-0.0009073583772242584,0.0
2025-11-24,0.001209600802436426,0.0009172270962356001
2025-11-25,0.0043442632144650465,0.00155100795471915
2025-11-26,0.0062730725668583105,0.0016660361595519
2025-11-27,0.003195818886420172,0.0009866799024451
2025-11-28,0.003296658286458776,0.0031762864184212
2025-12-01,-0.006215349395711794,-0.0022452139998736
2025-12-02,0.00707886526566359,0.0019020685180668
2025-12-03,0.0023867228472671575,0.0002757226247878
2025-12-04,0.005454890922088575,0.0020018012872308998
2025-12-05,-0.00732198568589716,-0.00010611283135145
2025-12-08,0.001689650469108625,0.0007774698871321
